EpRewMean	EpLenMean	KLOldNew	Entropy	EVBefore	EVAfter	TimestepsSoFar
-1132.19382263	200.0	1.67036e-06	1.41786	0.0	-0.0650614602273	2600
-1084.23328391	200.0	2.06722e-06	1.41893	-0.0278410074119	-0.157733703416	5200
-1276.31189726	200.0	3.01101e-06	1.41776	-0.204829387305	-0.448185498465	7800
-1184.63676154	200.0	1.02982e-05	1.41505	-0.500446616907	-1.0494614207	10400
-1152.11735549	200.0	3.73499e-05	1.40991	-0.985209753064	-1.38013165604	13000
-1148.2900272	200.0	8.22455e-05	1.40288	-1.35235683932	-1.42093880541	15600
-1210.4972639	200.0	0.000209829	1.3931	-1.52015759222	-1.49992473015	18200
-1287.16557523	200.0	0.00133907	1.37483	-1.29155679391	-1.4654892134	20800
-1127.68579934	200.0	0.00128984	1.34228	-2.53595577433	-0.890177366374	23400
-1079.89040244	200.0	0.000619703	1.34163	-0.841073341825	-0.587859441468	26000
-1046.66221054	200.0	0.00112425	1.32746	-0.54113526624	-0.220460333	28600
-1047.84163861	200.0	0.00132853	1.34005	-0.190720462559	-0.0469594414011	31200
-1181.78539713	200.0	0.00036926	1.33173	-0.0775127744628	0.0252246637457	33800
-1298.15021952	200.0	0.00108462	1.33738	0.0183843688722	0.305766087707	36400
-1179.3041398	200.0	0.00226377	1.3491	0.32133733571	0.452465529984	39000
-1383.87556646	200.0	0.00051162	1.34365	0.391263672984	0.446220378369	41600
-1111.87311609	200.0	0.00851201	1.3374	0.431057644979	0.451686362819	44200
-1231.56723278	200.0	0.000699811	1.34243	0.510994513703	0.520905532203	46800
-1138.49837922	200.0	0.00128488	1.34672	0.411793137372	0.425896853312	49400
-1013.15472457	200.0	0.00120783	1.35828	0.378172220896	0.412627264535	52000
-1180.97313204	200.0	0.00307696	1.37137	0.391875892334	0.396204546959	54600
-1309.17385267	200.0	0.00133463	1.35989	0.389386196608	0.393621163233	57200
-1198.03446875	200.0	0.00944197	1.31873	0.473939689394	0.479508228198	59800
-1348.25277574	200.0	0.0265616	1.2592	0.268900054228	0.270174613762	62400
-1234.02151815	200.0	0.00120118	1.22139	0.271476813947	0.27759652363	65000
-1172.28801482	200.0	0.000624069	1.19248	0.407836426553	0.414099449495	67600
-1203.5849357	200.0	0.0093658	1.14335	0.423458684411	0.426554661674	70200
-1200.88023869	200.0	0.0322414	1.00132	0.204377608659	0.211582892808	72800
-1293.34847229	200.0	0.0201457	0.933631	0.209419079631	0.212699935564	75400
-1312.72512833	200.0	0.000970833	0.975881	0.293138719582	0.297800702919	78000
-1210.89772209	200.0	0.00686702	0.890632	0.28198952315	0.288420409142	80600
-1372.27715397	200.0	0.00545144	0.925262	0.24475560542	0.248477471091	83200
-1284.50001185	200.0	0.000367076	0.892936	0.334065150782	0.336885241031	85800
-1239.2190884	200.0	0.00124903	0.918742	0.21058337074	0.21998079406	88400
-1176.35954866	200.0	0.00071836	0.924879	0.258102736405	0.263869577387	91000
-1343.28191031	200.0	0.00203974	0.981564	0.349505370459	0.359303160479	93600
-1304.53090538	200.0	0.000556133	0.949296	0.24124969024	0.250574651207	96200
-1230.1268725	200.0	0.00460989	0.988395	0.314369931885	0.319314825348	98800
-1321.15124156	200.0	0.00405669	0.967131	0.254685414739	0.257275000191	101400
-1290.86439255	200.0	0.00317976	0.911286	0.1654500625	0.178727291642	104000
-1366.13355683	200.0	0.000649832	0.932382	0.228933451449	0.238101135507	106600
-1357.41324746	200.0	0.00658586	0.907787	0.20226244327	0.210172930503	109200
-1355.39136803	200.0	0.000406659	0.873083	0.1897460511	0.194528427082	111800
-1270.92482875	200.0	0.00246931	0.858778	0.255875166736	0.264275491142	114400
-1290.93518095	200.0	0.0251993	0.796728	0.168169601162	0.178635265432	117000
-1401.49731326	200.0	0.0156416	0.874696	0.266763974169	0.271850207946	119600
-1284.23382188	200.0	0.0442685	0.749756	0.205076903089	0.210475488917	122200
-1375.43340454	200.0	0.041476	0.665366	0.161049563108	0.165305967075	124800
-1314.13369401	200.0	0.0112592	0.689944	0.109168936727	0.11663644493	127400
-1477.54955111	200.0	0.0026755	0.735113	0.0477217957857	0.0554928022055	130000
-1366.68914138	200.0	0.00438477	0.793101	0.190443717559	0.213784139786	132600
-1511.73352046	200.0	0.000416717	0.723147	0.117078433161	0.121149570508	135200
-1456.71463758	200.0	0.000158853	0.725243	0.0475053174389	0.0605100916435	137800
-1397.7175662	200.0	0.00166355	0.690219	0.101009293195	0.106723137905	140400
-1535.08630229	200.0	0.000526176	0.737353	0.0963130482076	0.100347993007	143000
-1359.33526336	200.0	0.00143381	0.718863	0.116912672847	0.122439849303	145600
-1489.89367667	200.0	0.00940096	0.712494	0.123457237261	0.127587868499	148200
-1468.457718	200.0	0.0121321	0.743789	0.191672522848	0.195738765376	150800
-1475.39103362	200.0	0.00580778	0.790008	0.197242779684	0.20402037127	153400
-1419.35081256	200.0	0.00255148	0.791465	0.266572587819	0.289228511197	156000
-1212.25843053	200.0	0.0027447	0.698096	0.160320489071	0.186859157025	158600
-1240.246721	200.0	0.00442322	0.647474	0.0191151543267	0.0462512372589	161200
-1347.81360064	200.0	0.00101332	0.790777	0.203748741361	0.215471352164	163800
-1349.70319956	200.0	0.000924496	0.784952	0.26666599792	0.27220484281	166400
